Student,SUB_1,SUB_2,SUB_3,SUB_4,SUB_5,SUB_6,SUB_7,SUB_8,SUB_9,SUB_10,USUB_1,USUB_2,USUB_3,USUB_4,USUB_5,USUB_6,USUB_7,USUB_8,USUB_9,USUB_10,SGD_1,SGD_2,SGD_3,SGD_4,SGD_5,SGD_6,SGD_7,SGD_8,SGD_9,SGD_10
505,Life & Works of Rizal,Discrete Structures,Essentials of Catholic Faith & Life,Living in the IT Era,Computer Programming,Readings in Philippine History,Physical Education 3,Parallel & Distributed Computing,Art Appreciation,Understanding the Self,1,3,1,2,3,1,2,3,1,1,97,85,93,80,97,91,88,77,77,79
506,Physical Education 3,Readings in Philippine History,Understanding the Self,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Art Appreciation,Discrete Structures,2,1,1,2,2,3,3,1,1,3,100,70,98,97,88,97,88,83,97,86
507,Physical Education 3,Readings in Philippine History,Parallel & Distributed Computing,Data Structures & Algorithms,Discrete Structures,Technopreneurship,Computer Programming,Differential Calculus,Ethics,Living in the IT Era,2,1,3,3,3,2,3,3,2,2,93,88,89,84,96,70,73,91,78,85
508,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Readings in Philippine History,Technopreneurship,Discrete Structures,Ethics,Understanding the Self,Life & Works of Rizal,Parallel & Distributed Computing,2,2,2,1,2,3,2,1,1,3,82,94,89,72,72,92,84,83,77,94
509,Life & Works of Rizal,Essentials of Catholic Faith & Life,Art Appreciation,Ethics,Computer Programming,Technopreneurship,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Living in the IT Era,1,1,1,2,3,2,3,2,3,2,84,80,98,99,89,86,72,86,77,85
510,Computer Programming,Art Appreciation,Ethics,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Physical Education 3,Parallel & Distributed Computing,Readings in Philippine History,Discrete Structures,Living in the IT Era,3,1,2,2,2,2,3,1,3,2,93,92,72,99,76,98,87,87,98,81
511,Readings in Philippine History,Understanding the Self,Computer Programming,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Technopreneurship,Physical Education 3,Discrete Structures,Art Appreciation,Living in the IT Era,1,1,3,3,1,2,2,3,1,2,76,85,82,76,93,98,84,88,83,85
512,Differential Calculus,Understanding the Self,Discrete Structures,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Living in the IT Era,Computer Programming,Essentials of Catholic Faith & Life,Technopreneurship,3,1,3,1,2,1,2,3,1,2,74,75,85,78,94,73,78,74,72,79
513,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Art Appreciation,Computer Programming,Living in the IT Era,Parallel & Distributed Computing,Readings in Philippine History,Understanding the Self,Discrete Structures,Essentials of Catholic Faith & Life,2,3,1,3,2,3,1,1,3,1,90,73,98,78,73,80,79,89,89,97
514,Differential Calculus,Living in the IT Era,Readings in Philippine History,Life & Works of Rizal,Ethics,Parallel & Distributed Computing,Discrete Structures,Physical Education 3,Technopreneurship,Understanding the Self,3,2,1,1,2,3,3,2,2,1,81,88,70,76,93,96,76,92,70,97
515,Essentials of Catholic Faith & Life,Discrete Structures,Technopreneurship,Living in the IT Era,Data Structures & Algorithms,Readings in Philippine History,Life & Works of Rizal,Differential Calculus,Understanding the Self,Physical Education 3,1,3,2,2,3,1,1,3,1,2,83,84,78,85,81,82,92,80,90,73
516,Parallel & Distributed Computing,Living in the IT Era,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Differential Calculus,Technopreneurship,Discrete Structures,Readings in Philippine History,3,2,3,1,2,2,3,2,3,1,75,82,81,78,83,88,99,71,91,97
517,Readings in Philippine History,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Life & Works of Rizal,Ethics,Living in the IT Era,Differential Calculus,Art Appreciation,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),1,3,1,1,2,2,3,1,3,2,84,92,93,83,95,83,95,72,87,94
518,Discrete Structures,Life & Works of Rizal,Essentials of Catholic Faith & Life,Understanding the Self,Technopreneurship,Parallel & Distributed Computing,Ethics,Data Structures & Algorithms,Differential Calculus,Readings in Philippine History,3,1,1,1,2,3,2,3,3,1,83,97,75,99,77,88,70,84,74,76
519,Computer Programming,Essentials of Catholic Faith & Life,Life & Works of Rizal,Data Structures & Algorithms,Living in the IT Era,Physical Education 3,Discrete Structures,Parallel & Distributed Computing,Differential Calculus,Art Appreciation,3,1,1,3,2,2,3,3,3,1,95,97,77,95,86,76,88,76,77,74
520,Art Appreciation,Living in the IT Era,Data Structures & Algorithms,Differential Calculus,Computer Programming,Technopreneurship,Ethics,Life & Works of Rizal,Discrete Structures,Readings in Philippine History,1,2,3,3,3,2,2,1,3,1,75,83,93,84,76,79,89,96,74,88
521,Ethics,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Essentials of Catholic Faith & Life,Understanding the Self,Discrete Structures,Data Structures & Algorithms,Computer Programming,Readings in Philippine History,2,2,2,3,1,1,3,3,3,1,87,89,86,98,79,71,81,99,95,98
522,Parallel & Distributed Computing,Data Structures & Algorithms,Understanding the Self,Life & Works of Rizal,Discrete Structures,Physical Education 3,Ethics,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Art Appreciation,3,3,1,1,3,2,2,2,2,1,94,83,75,86,80,93,91,87,99,85
523,Discrete Structures,Technopreneurship,Ethics,Life & Works of Rizal,Data Structures & Algorithms,Art Appreciation,Computer Programming,Physical Education 3,Understanding the Self,Parallel & Distributed Computing,3,2,2,1,3,1,3,2,1,3,77,92,85,73,70,75,93,88,82,92
524,Technopreneurship,Readings in Philippine History,Data Structures & Algorithms,Understanding the Self,Discrete Structures,Living in the IT Era,Differential Calculus,Ethics,Art Appreciation,Computer Programming,2,1,3,1,3,2,3,2,1,3,93,73,73,70,95,70,71,87,91,85
525,Understanding the Self,Discrete Structures,Parallel & Distributed Computing,Readings in Philippine History,Ethics,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Essentials of Catholic Faith & Life,Differential Calculus,Data Structures & Algorithms,1,3,3,1,2,2,2,1,3,3,78,81,95,77,78,97,91,72,73,74
526,Ethics,Technopreneurship,Differential Calculus,Computer Programming,Parallel & Distributed Computing,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Understanding the Self,Living in the IT Era,Essentials of Catholic Faith & Life,2,2,3,3,3,2,2,1,2,1,98,84,72,87,95,72,84,87,100,82
527,Readings in Philippine History,Differential Calculus,Art Appreciation,Life & Works of Rizal,Essentials of Catholic Faith & Life,Ethics,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Data Structures & Algorithms,Understanding the Self,1,3,1,1,1,2,2,3,3,1,93,92,75,84,73,79,89,94,91,100
528,Differential Calculus,Physical Education 3,Art Appreciation,Technopreneurship,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Understanding the Self,Life & Works of Rizal,Ethics,3,2,1,2,1,2,3,1,1,2,81,97,89,70,70,85,82,80,100,92
529,Ethics,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Living in the IT Era,Readings in Philippine History,Physical Education 3,Parallel & Distributed Computing,Discrete Structures,Computer Programming,Technopreneurship,2,2,1,2,1,2,3,3,3,2,99,93,83,100,100,85,78,100,79,76
530,Understanding the Self,Readings in Philippine History,Physical Education 3,Parallel & Distributed Computing,Life & Works of Rizal,Essentials of Catholic Faith & Life,Technopreneurship,Discrete Structures,Differential Calculus,Art Appreciation,1,1,2,3,1,1,2,3,3,1,70,87,74,95,100,74,91,91,70,81
531,Parallel & Distributed Computing,Data Structures & Algorithms,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Ethics,Discrete Structures,Art Appreciation,Computer Programming,Essentials of Catholic Faith & Life,3,3,1,2,3,2,3,1,3,1,81,87,79,88,73,91,92,98,76,94
532,Parallel & Distributed Computing,Art Appreciation,Technopreneurship,Readings in Philippine History,Understanding the Self,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Ethics,Computer Programming,Discrete Structures,3,1,2,1,1,2,2,2,3,3,95,81,72,96,96,77,71,83,99,84
533,Computer Programming,Readings in Philippine History,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Differential Calculus,Essentials of Catholic Faith & Life,Technopreneurship,Data Structures & Algorithms,Art Appreciation,3,1,3,2,2,3,1,2,3,1,88,94,81,71,78,95,72,80,70,98
534,Discrete Structures,Parallel & Distributed Computing,Data Structures & Algorithms,Differential Calculus,Physical Education 3,Living in the IT Era,Technopreneurship,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,3,3,3,3,2,2,2,1,2,1,80,92,71,83,95,71,91,96,86,79
535,Ethics,Understanding the Self,Differential Calculus,Art Appreciation,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Computer Programming,Living in the IT Era,Data Structures & Algorithms,Physical Education 3,2,1,3,1,3,1,3,2,3,2,83,90,71,72,78,87,100,95,73,71
536,Readings in Philippine History,Art Appreciation,Data Structures & Algorithms,Differential Calculus,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Physical Education 3,Discrete Structures,Computer Programming,1,1,3,3,3,2,1,2,3,3,76,93,91,98,84,71,97,90,75,72
537,Parallel & Distributed Computing,Computer Programming,Technopreneurship,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Life & Works of Rizal,Readings in Philippine History,Art Appreciation,Data Structures & Algorithms,3,3,2,2,2,2,1,1,1,3,74,98,80,96,87,97,88,93,98,86
538,Life & Works of Rizal,Technopreneurship,Readings in Philippine History,Art Appreciation,Understanding the Self,Ethics,Discrete Structures,Data Structures & Algorithms,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),1,2,1,1,1,2,3,3,2,2,90,79,96,87,79,84,100,88,95,90
539,Understanding the Self,Physical Education 3,Technopreneurship,Parallel & Distributed Computing,Readings in Philippine History,Essentials of Catholic Faith & Life,Differential Calculus,Ethics,Discrete Structures,Art Appreciation,1,2,2,3,1,1,3,2,3,1,96,99,75,71,82,85,94,79,78,83
540,Understanding the Self,Living in the IT Era,Essentials of Catholic Faith & Life,Physical Education 3,Art Appreciation,Technopreneurship,Ethics,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Life & Works of Rizal,1,2,1,2,1,2,2,2,3,1,97,98,96,97,81,89,72,75,100,83
541,Discrete Structures,Essentials of Catholic Faith & Life,Art Appreciation,Physical Education 3,Living in the IT Era,Readings in Philippine History,Computer Programming,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,3,1,1,2,2,1,3,3,2,3,78,91,96,89,95,100,88,95,98,90
542,Differential Calculus,Technopreneurship,Parallel & Distributed Computing,Physical Education 3,Computer Programming,Art Appreciation,Understanding the Self,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Life & Works of Rizal,3,2,3,2,3,1,1,1,3,1,100,80,72,90,83,95,87,99,79,75
543,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Living in the IT Era,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Readings in Philippine History,Differential Calculus,Technopreneurship,Art Appreciation,Life & Works of Rizal,2,2,2,3,1,1,3,2,1,1,98,90,73,90,92,81,80,77,72,84
544,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Parallel & Distributed Computing,Differential Calculus,Ethics,Living in the IT Era,Essentials of Catholic Faith & Life,Life & Works of Rizal,Discrete Structures,Understanding the Self,2,1,3,3,2,2,1,1,3,1,93,74,83,83,99,100,81,98,85,81
545,Physical Education 3,Ethics,Discrete Structures,Readings in Philippine History,Data Structures & Algorithms,Understanding the Self,Essentials of Catholic Faith & Life,Life & Works of Rizal,Computer Programming,Basic Grammar & Writing Composition (Nihongo),2,2,3,1,3,1,1,1,3,2,94,78,87,72,74,84,84,76,92,71
546,Technopreneurship,Computer Programming,Ethics,Parallel & Distributed Computing,Living in the IT Era,Physical Education 3,Readings in Philippine History,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,2,3,2,3,2,2,1,1,2,3,75,88,78,71,90,76,87,86,74,96
547,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Parallel & Distributed Computing,Art Appreciation,Data Structures & Algorithms,Discrete Structures,Technopreneurship,Living in the IT Era,Understanding the Self,1,2,1,3,1,3,3,2,2,1,94,85,95,90,82,87,98,83,90,88
548,Data Structures & Algorithms,Art Appreciation,Physical Education 3,Essentials of Catholic Faith & Life,Discrete Structures,Ethics,Technopreneurship,Understanding the Self,Parallel & Distributed Computing,Living in the IT Era,3,1,2,1,3,2,2,1,3,2,73,84,76,84,82,76,78,98,75,75
549,Data Structures & Algorithms,Technopreneurship,Living in the IT Era,Life & Works of Rizal,Discrete Structures,Art Appreciation,Differential Calculus,Computer Programming,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),3,2,2,1,3,1,3,3,1,2,88,90,84,75,81,85,99,87,72,77
550,Discrete Structures,Understanding the Self,Physical Education 3,Life & Works of Rizal,Readings in Philippine History,Essentials of Catholic Faith & Life,Computer Programming,Data Structures & Algorithms,Differential Calculus,Ethics,3,1,2,1,1,1,3,3,3,2,99,90,85,77,80,77,100,80,76,91
551,Parallel & Distributed Computing,Understanding the Self,Life & Works of Rizal,Living in the IT Era,Differential Calculus,Technopreneurship,Computer Programming,Physical Education 3,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),3,1,1,2,3,2,3,2,3,2,100,71,100,86,71,71,96,87,99,80
552,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Physical Education 3,Understanding the Self,Parallel & Distributed Computing,Computer Programming,Art Appreciation,Technopreneurship,Living in the IT Era,1,2,3,2,1,3,3,1,2,2,88,97,96,82,89,80,80,80,91,82
553,Essentials of Catholic Faith & Life,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Physical Education 3,Art Appreciation,Computer Programming,Readings in Philippine History,Ethics,Differential Calculus,1,2,2,2,2,1,3,1,2,3,85,81,93,85,83,89,100,70,83,71
554,Living in the IT Era,Understanding the Self,Discrete Structures,Physical Education 3,Ethics,Life & Works of Rizal,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Differential Calculus,2,1,3,2,2,1,1,2,1,3,73,93,84,88,100,98,83,83,73,74
555,Parallel & Distributed Computing,Computer Programming,Data Structures & Algorithms,Living in the IT Era,Understanding the Self,Life & Works of Rizal,Essentials of Catholic Faith & Life,Discrete Structures,Technopreneurship,Differential Calculus,3,3,3,2,1,1,1,3,2,3,86,97,78,82,100,80,78,80,77,85
556,Technopreneurship,Discrete Structures,Data Structures & Algorithms,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Understanding the Self,Art Appreciation,Physical Education 3,Living in the IT Era,2,3,3,3,2,1,1,1,2,2,86,97,74,91,85,81,76,86,97,76
557,Technopreneurship,Physical Education 3,Ethics,Parallel & Distributed Computing,Computer Programming,Readings in Philippine History,Understanding the Self,Living in the IT Era,Differential Calculus,Data Structures & Algorithms,2,2,2,3,3,1,1,2,3,3,78,95,83,71,86,75,70,92,75,90
558,Discrete Structures,Parallel & Distributed Computing,Ethics,Differential Calculus,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Understanding the Self,Life & Works of Rizal,Physical Education 3,Living in the IT Era,3,3,2,3,1,2,1,1,2,2,96,85,90,77,86,89,90,85,84,89
559,Readings in Philippine History,Art Appreciation,Computer Programming,Differential Calculus,Life & Works of Rizal,Discrete Structures,Living in the IT Era,Understanding the Self,Technopreneurship,Ethics,1,1,3,3,1,3,2,1,2,2,100,71,79,78,93,85,89,90,95,79
560,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Ethics,Differential Calculus,Technopreneurship,Parallel & Distributed Computing,Art Appreciation,Physical Education 3,Discrete Structures,1,2,1,2,3,2,3,1,2,3,100,99,94,78,81,80,89,92,90,73
561,Data Structures & Algorithms,Computer Programming,Art Appreciation,Physical Education 3,Differential Calculus,Ethics,Essentials of Catholic Faith & Life,Technopreneurship,Life & Works of Rizal,Discrete Structures,3,3,1,2,3,2,1,2,1,3,72,87,94,82,100,90,70,96,92,86
562,Life & Works of Rizal,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Ethics,Data Structures & Algorithms,Technopreneurship,Physical Education 3,Differential Calculus,Discrete Structures,1,3,2,1,2,3,2,2,3,3,74,91,70,72,92,98,79,97,84,74
563,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Life & Works of Rizal,Understanding the Self,Data Structures & Algorithms,Art Appreciation,Physical Education 3,Readings in Philippine History,Ethics,Discrete Structures,2,2,1,1,3,1,2,1,2,3,79,84,71,97,86,78,78,93,76,81
564,Living in the IT Era,Data Structures & Algorithms,Ethics,Understanding the Self,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Physical Education 3,Technopreneurship,Discrete Structures,2,3,2,1,1,2,3,2,2,3,96,96,86,86,83,96,76,78,98,97
565,Parallel & Distributed Computing,Art Appreciation,Essentials of Catholic Faith & Life,Physical Education 3,Differential Calculus,Ethics,Understanding the Self,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,3,1,1,2,3,2,1,1,2,3,79,74,90,76,74,87,97,75,92,100
566,Living in the IT Era,Readings in Philippine History,Differential Calculus,Ethics,Understanding the Self,Parallel & Distributed Computing,Art Appreciation,Discrete Structures,Physical Education 3,Life & Works of Rizal,2,1,3,2,1,3,1,3,2,1,71,90,91,70,82,76,88,85,97,87
567,Physical Education 3,Ethics,Art Appreciation,Essentials of Catholic Faith & Life,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Technopreneurship,Discrete Structures,Parallel & Distributed Computing,2,2,1,1,2,2,3,2,3,3,78,94,74,77,85,94,94,83,98,86
568,Life & Works of Rizal,Parallel & Distributed Computing,Technopreneurship,Essentials of Catholic Faith & Life,Physical Education 3,Computer Programming,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Living in the IT Era,1,3,2,1,2,3,1,2,3,2,75,92,89,73,93,91,89,82,73,94
569,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Essentials of Catholic Faith & Life,Living in the IT Era,Differential Calculus,Readings in Philippine History,Parallel & Distributed Computing,Ethics,Physical Education 3,1,2,3,1,2,3,1,3,2,2,79,85,76,85,81,85,90,73,75,93
570,Computer Programming,Life & Works of Rizal,Data Structures & Algorithms,Ethics,Art Appreciation,Physical Education 3,Living in the IT Era,Parallel & Distributed Computing,Discrete Structures,Basic Grammar & Writing Composition (Nihongo),3,1,3,2,1,2,2,3,3,2,71,87,90,83,86,85,97,97,84,93
571,Computer Programming,Data Structures & Algorithms,Understanding the Self,Parallel & Distributed Computing,Physical Education 3,Essentials of Catholic Faith & Life,Life & Works of Rizal,Ethics,Readings in Philippine History,Discrete Structures,3,3,1,3,2,1,1,2,1,3,88,94,92,84,82,86,88,75,76,75
572,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Life & Works of Rizal,Readings in Philippine History,Art Appreciation,Living in the IT Era,Discrete Structures,Technopreneurship,Differential Calculus,Data Structures & Algorithms,2,2,1,1,1,2,3,2,3,3,83,97,70,82,99,89,99,73,91,73
573,Ethics,Differential Calculus,Life & Works of Rizal,Physical Education 3,Discrete Structures,Computer Programming,Living in the IT Era,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),2,3,1,2,3,3,2,3,1,2,77,97,83,88,70,71,85,81,71,72
574,Art Appreciation,Data Structures & Algorithms,Living in the IT Era,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Life & Works of Rizal,Understanding the Self,Ethics,Readings in Philippine History,1,3,2,3,2,3,1,1,2,1,83,81,81,100,80,74,80,80,76,78
575,Art Appreciation,Technopreneurship,Essentials of Catholic Faith & Life,Physical Education 3,Understanding the Self,Differential Calculus,Data Structures & Algorithms,Living in the IT Era,Computer Programming,Ethics,1,2,1,2,1,3,3,2,3,2,90,85,77,81,97,99,92,88,94,94
576,Ethics,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Essentials of Catholic Faith & Life,Understanding the Self,Living in the IT Era,Data Structures & Algorithms,Discrete Structures,Art Appreciation,2,2,2,1,1,1,2,3,3,1,94,83,75,84,97,72,73,74,97,90
577,Readings in Philippine History,Differential Calculus,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Discrete Structures,Computer Programming,Physical Education 3,Ethics,1,3,2,2,3,1,3,3,2,2,89,91,88,81,98,72,86,90,97,73
578,Life & Works of Rizal,Differential Calculus,Physical Education 3,Discrete Structures,Readings in Philippine History,Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Living in the IT Era,Ethics,Data Structures & Algorithms,1,3,2,3,1,1,3,2,2,3,82,86,99,79,75,96,90,84,88,74
579,Parallel & Distributed Computing,Art Appreciation,Computer Programming,Ethics,Living in the IT Era,Differential Calculus,Physical Education 3,Discrete Structures,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),3,1,3,2,2,3,2,3,2,2,78,74,80,89,99,87,99,80,100,98
580,Life & Works of Rizal,Art Appreciation,Ethics,Data Structures & Algorithms,Living in the IT Era,Discrete Structures,Technopreneurship,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,1,1,2,3,2,3,2,1,2,1,90,74,81,97,78,87,79,76,75,99
581,Living in the IT Era,Parallel & Distributed Computing,Art Appreciation,Essentials of Catholic Faith & Life,Understanding the Self,Physical Education 3,Differential Calculus,Ethics,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,2,3,1,1,1,2,3,2,2,1,73,84,89,75,70,73,74,91,94,81
582,Physical Education 3,Understanding the Self,Readings in Philippine History,Parallel & Distributed Computing,Discrete Structures,Computer Programming,Essentials of Catholic Faith & Life,Living in the IT Era,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),2,1,1,3,3,3,1,2,3,2,78,91,75,85,78,83,91,76,92,79
583,Basic Grammar & Writing Composition (Nihongo),Understanding the Self,Discrete Structures,Living in the IT Era,Computer Programming,Physical Education 3,Parallel & Distributed Computing,Life & Works of Rizal,Essentials of Catholic Faith & Life,Data Structures & Algorithms,2,1,3,2,3,2,3,1,1,3,97,83,75,82,78,84,84,90,87,81
584,Living in the IT Era,Differential Calculus,Ethics,Technopreneurship,Essentials of Catholic Faith & Life,Understanding the Self,Computer Programming,Physical Education 3,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),2,3,2,2,1,1,3,2,1,2,82,95,88,93,73,91,83,71,80,75
585,Discrete Structures,Readings in Philippine History,Living in the IT Era,Differential Calculus,Life & Works of Rizal,Computer Programming,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Parallel & Distributed Computing,Technopreneurship,3,1,2,3,1,3,2,1,3,2,82,85,90,95,83,88,90,97,91,100
586,Computer Programming,Differential Calculus,Ethics,Discrete Structures,Life & Works of Rizal,Physical Education 3,Technopreneurship,Readings in Philippine History,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,3,3,2,3,1,2,2,1,3,1,80,95,98,75,70,95,79,70,88,80
587,Essentials of Catholic Faith & Life,Readings in Philippine History,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Computer Programming,Discrete Structures,Physical Education 3,Ethics,Understanding the Self,1,1,3,2,3,3,3,2,2,1,72,98,78,91,100,79,86,82,70,92
588,Essentials of Catholic Faith & Life,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Readings in Philippine History,Differential Calculus,Computer Programming,Ethics,Life & Works of Rizal,Discrete Structures,1,2,2,3,1,3,3,2,1,3,90,71,72,80,99,86,71,82,73,82
589,Essentials of Catholic Faith & Life,Technopreneurship,Living in the IT Era,Understanding the Self,Readings in Philippine History,Computer Programming,Life & Works of Rizal,Physical Education 3,Discrete Structures,Differential Calculus,1,2,2,1,1,3,1,2,3,3,96,71,75,82,84,78,98,94,86,77
590,Readings in Philippine History,Technopreneurship,Discrete Structures,Parallel & Distributed Computing,Data Structures & Algorithms,Understanding the Self,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Ethics,Computer Programming,1,2,3,3,3,1,2,2,2,3,81,96,70,91,77,99,96,70,93,96
591,Readings in Philippine History,Data Structures & Algorithms,Differential Calculus,Living in the IT Era,Understanding the Self,Physical Education 3,Essentials of Catholic Faith & Life,Discrete Structures,Computer Programming,Life & Works of Rizal,1,3,3,2,1,2,1,3,3,1,80,83,74,81,85,82,79,70,96,94
592,Understanding the Self,Parallel & Distributed Computing,Readings in Philippine History,Physical Education 3,Life & Works of Rizal,Essentials of Catholic Faith & Life,Ethics,Technopreneurship,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),1,3,1,2,1,1,2,2,2,2,94,88,82,99,90,75,80,90,88,87
593,Differential Calculus,Computer Programming,Discrete Structures,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Data Structures & Algorithms,Art Appreciation,Technopreneurship,Readings in Philippine History,3,3,3,2,2,1,3,1,2,1,91,84,80,71,76,96,100,78,78,95
594,Computer Programming,Readings in Philippine History,Understanding the Self,Technopreneurship,Physical Education 3,Art Appreciation,Differential Calculus,Living in the IT Era,Data Structures & Algorithms,Life & Works of Rizal,3,1,1,2,2,1,3,2,3,1,70,84,81,78,83,77,80,78,96,71
595,Life & Works of Rizal,Differential Calculus,Data Structures & Algorithms,Readings in Philippine History,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Ethics,Physical Education 3,Art Appreciation,Living in the IT Era,1,3,3,1,2,2,2,2,1,2,76,91,96,70,80,82,95,89,89,86
596,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Life & Works of Rizal,Living in the IT Era,Technopreneurship,Readings in Philippine History,Computer Programming,Differential Calculus,Parallel & Distributed Computing,Art Appreciation,3,1,1,2,2,1,3,3,3,1,93,88,84,70,76,73,95,84,71,75
597,Living in the IT Era,Discrete Structures,Data Structures & Algorithms,Ethics,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Art Appreciation,Life & Works of Rizal,Differential Calculus,2,3,3,2,2,2,3,1,1,3,90,99,72,76,99,86,89,98,89,84
598,Life & Works of Rizal,Technopreneurship,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Living in the IT Era,Data Structures & Algorithms,Readings in Philippine History,Understanding the Self,Essentials of Catholic Faith & Life,1,2,3,2,3,2,3,1,1,1,71,96,85,85,95,91,100,79,92,86
599,Life & Works of Rizal,Understanding the Self,Physical Education 3,Ethics,Essentials of Catholic Faith & Life,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Data Structures & Algorithms,Living in the IT Era,1,1,2,2,1,1,2,1,3,2,89,76,74,75,70,84,74,99,86,88
600,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Art Appreciation,Computer Programming,Understanding the Self,Physical Education 3,Discrete Structures,Living in the IT Era,2,1,1,3,1,3,1,2,3,2,70,96,87,79,100,93,91,92,94,87
